_id,id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,_created_at
682f5a80e22eb516c3b6be0b,anl44_fcfps_coveredby,Fcfps D0 coveredby,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.4811,1,1,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be0c,anl44_fcfps_prevalue,FCFPS D0 prevalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.4459,1,1,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be0d,anl44_fcfps_value,Fcfps d0 value,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.4807,1,1,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be0e,anl44_ffops_best_crncy_iso,ffops best crncy iso,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,1,12,16,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be0f,anl44_ffops_best_cur_fiscal_qtr_period,ffops best cur fiscal qtr period,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9881,7,15,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be10,anl44_ffops_best_cur_fiscal_semi_year_period,FFOPS best cur fiscal semi-year period,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9881,11,22,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be11,anl44_ffops_best_cur_fiscal_year_period,ffops best cur fiscal year period,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9881,7,8,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be12,anl44_ffops_best_eeps_cur_yr,ffops best eeps cur yr,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9287,10,10,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be13,anl44_ffops_best_eeps_nxt_yr,ffops best eeps nxt yr,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9291,19,35,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be14,anl44_gaap_best_eps,gaap best eps,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9328,7,30,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be15,anl44_gaap_best_eps_4wk_chg,gaap best eps 4wk chg,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9184,3,5,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be16,anl44_gaap_best_eps_4wk_dn,gaap best eps 4wk dn,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9197,8,20,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be17,anl44_gaap_best_eps_4wk_up,gaap best eps 4wk up,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9146,10,13,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be18,anl44_gaap_best_eps_chg_pct,gaap best eps chg pct,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8934,3,4,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be19,anl44_gaap_best_eps_gaap,gaap best eps gaap,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9202,7,14,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be1a,anl44_gaap_best_eps_gaap_4wk_chg,gaap best eps gaap 4wk chg,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8974,8,10,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be1b,anl44_gaap_best_eps_gaap_4wk_dn,gaap best eps gaap 4wk dn,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9007,3,3,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be1c,anl44_gaap_best_eps_gaap_4wk_up,gaap best eps gaap 4wk up,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8977,20,33,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be1d,anl44_gaap_best_eps_gaap_hi,gaap best eps gaap hi,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9202,7,9,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be1e,anl44_gaap_best_eps_gaap_lo,gaap best eps gaap lo,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9201,6,9,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be1f,anl44_gaap_best_eps_gaap_median,gaap best eps gaap median,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9202,6,7,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be20,anl44_gaap_best_eps_gaap_numest,gaap best eps gaap numest,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9202,9,11,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be21,anl44_gaap_best_eps_gaap_stddev,gaap best eps gaap stddev,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8799,13,21,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be22,anl44_gaap_best_eps_hi,gaap best eps hi,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9328,7,7,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be23,anl44_gaap_best_eps_lo,gaap best eps lo,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9328,11,17,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be24,anl44_gaap_best_eps_median,gaap best eps median,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9328,4,4,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be25,anl44_gaap_best_eps_numest,gaap best eps numest,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9328,3,3,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be26,anl44_gaap_best_eps_stddev,gaap best eps stddev,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9114,13,14,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be27,anl44_gaap_best_net_gaap,gaap best net gaap,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9087,9,11,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be28,anl44_gaap_best_net_gaap_4wk_chg,gaap best net gaap 4wk chg,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8823,7,9,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be29,anl44_gaap_best_net_gaap_4wk_dn,gaap best net gaap 4wk dn,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8867,6,34,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be2a,anl44_gaap_best_net_gaap_4wk_up,gaap best net gaap 4wk up,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8801,8,12,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be2b,anl44_gaap_best_net_gaap_hi,gaap best net gaap hi,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9087,0,0,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be2c,anl44_gaap_best_net_gaap_lo,gaap best net gaap lo,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9087,4,6,1.2,2025-05-23T01:10:24.205Z
